tablet	excavationNumbers
P001168	W 09311,o
P001169	W 09311,p
P001170	W 09311,q
P001171	W 09311,r
P001172	W 09311,t
P001173	W 09311,u
P001174	W 09311,w
P001175	W 09311,x
P001176	W 09312,a
P001177	W 09312,b
P001178	W 09312,c
P001179	W 09312,d
P001180	W 09312,e
P001181	W 09312,f
P001182	W 09312,g
P001183	W 09312,h
P001184	W 09312,i
P001185	W 09312,k
P001186	W 09312,l
P001187	W 09312,m
P001188	W 09312,n1
P001189	W 09312,n2 + W 09312,r
P001190	W 09312,o
P001194	W 09312,s
P001195	W 09312,t
P001199	W 09312,x
P001200	W 09312,y
P001201	W 09312,z
P001202	W 09312,aa
P001203	W 09335,a
P001204	W 09335,b
P001205	W 09335,c
P001206	W 09335,d
P001207	W 09335,e
P001208	W 09335,f
P001209	W 09335,g
P001210	W 09335,h1
P001211	W 09335,h2
P001212	W 09335,i
P001214	W 09335,l
P001215	W 09335,m
P001217	W 09335,o
P001218	W 09335,p
P001219	W 09335,q
P001220	W 09335,r
P001221	W 09335,s
P001222	W 09335,t
P001223	W 09335,u
P001224	W 09335,v
P001226	W 09393,a
P001227	W 09393,b
P001228	W 09393,c
P001229	W 09393,d
P001230	W 09393,e
P001231	W 09393,f
P001232	W 09492
P001233	W 09578,a
P001234	W 09578,b
P001235	W 09578,c
P001236	W 09578,d
P001237	W 09578,e
P001238	W 09578,f
P001239	W 09578,g
P001240	W 09578,h
P001241	W 09578,i
P001242	W 09578,k
P001243	W 09578,l
P001244	W 09578,m
P001245	W 09578,n
P001246	W 09578,o
P001247	W 09578,p
P001248	W 09578,q
P001249	W 09579,a
P001250	W 09579,b
P001251	W 09579,c
P001252	W 09579,d
P001253	W 09579,e
P001254	W 09579,f
P001255	W 09579,g
P001256	W 09579,h
P001257	W 09579,i
P001258	W 09579,k
P001259	W 09579,l
P001260	W 09579,m
P001261	W 09579,n
P001262	W 09579,o
P001263	W 09579,p
P001264	W 09579,q
P001265	W 09579,r
P001266	W 09579,s
P001267	W 09579,t
P001268	W 09579,u
P001269	W 09579,v
P001270	W 09579,w
P001271	W 09579,x
P001272	W 09579,y
P001273	W 09579,z
P001274	W 09579,aa
P001275	W 09579,ab
P001276	W 09579,ac
P001277	W 09579,ad
P001278	W 09579,ae
P001279	W 09579,af
P001280	W 09579,ag
P001281	W 09579,ah
P001282	W 09579,ai
P001283	W 09579,ak
P001284	W 09579,al
P001285	W 09579,am
P001286	W 09579,an
P001287	W 09579,ao
P001288	W 09579,ap
P001289	W 09579,aq
P001290	W 09579,ar
P001291	W 09579,as
P001292	W 09579,at
P001293	W 09579,au
P001294	W 09579,av
P001295	W 09579,aw
P001296	W 09579,ax
P001297	W 09579,ay
P001298	W 09579,az
P001299	W 09579,ba
P001300	W 09579,bb
P001301	W 09579,bc
P001302	W 09579,bd
P001303	W 09579,be
P001304	W 09579,bf
P001305	W 09579,bg
P001306	W 09579,bh
P001307	W 09579,bi
P001308	W 09579,bk
P001309	W 09579,bl
P001310	W 09579,bm
P001313	W 09579,bq
P001314	W 09579,br
P001315	W 09579,bs
P001316	W 09579,bt
P001317	W 09579,bu
P001318	W 09579,bv
P001319	W 09579,bw
P001320	W 09579,bx
P001321	W 09579,by1
P001322	W 09579,by2
P001323	W 09579,bz
P001324	W 09579,ca
P001325	W 09579,cb
P001326	W 09579,cc
P001327	W 09579,cd
P001328	W 09579,ce
P001329	W 09579,cf
P001330	W 09579,cg
P001331	W 09579,ch
P001332	W 09579,ci
P001333	W 09579,ck
P001334	W 09579,cl
P001335	W 09579,cm
P001336	W 09579,cn
P001337	W 09579,co
P001338	W 09579,cp
P001339	W 09579,cq
P001340	W 09579,cr
P001341	W 09579,cs
P001342	W 09579,ct
P001343	W 09579,cu
P001344	W 09579,cv
P001345	W 09579,cw
P001346	W 09579,cx
P001347	W 09579,cy
P001348	W 09579,cz
P001349	W 09579,da
P001350	W 09579,db
P001351	W 09579,dc
P001352	W 09579,dd
P001353	W 09579,de
P001354	W 09579,df
P001355	W 09579,dg
P001356	W 09579,dh
P001357	W 09579,di
P001358	W 09579,dk
P001359	W 09579,dl
P001360	W 09579,dm
P001361	W 09579,dn
P001362	W 09579,do
P001363	W 09579,dp
P001364	W 09579,dq
P001365	W 09579,dr
P001366	W 09579,ds
P001367	W 09579,dt
P001368	W 09579,du
P001369	W 09579,dv
P001370	W 09579,dw
P001371	W 09579,dx
P001372	W 09579,dy
P001373	W 09579,dz
P001374	W 09655,a
P001375	W 09655,b
P001376	W 09655,c
P001377	W 09655,d + W 09655,dh
P001378	W 09655,e
P001379	W 09655,f
P001380	W 09655,g
P001381	W 09655,h
P001382	W 09655,i
P001383	W 09655,k
P001384	W 09655,l
P001385	W 09655,m
P001387	W 09655,o
P001388	W 09655,p
P001389	W 09655,q
P001390	W 09655,r
P001391	W 09655,s
P001392	W 09655,t
P001393	W 09655,u
P001394	W 09655,v
P001395	W 09655,w
P001396	W 09655,x
P001397	W 09655,y
P001398	W 09655,z
P001399	W 09655,aa
P001400	W 09655,ab
P001401	W 09655,ac
P001402	W 09655,ad
P001403	W 09655,ae
P001405	W 09655,ag
P001406	W 09655,ah
P001407	W 09655,ai
