sign1	sign2	closeness
1(N01)	GI6	  74.38
1(N01)	SILA3~a	  74.36
GI	SZU	  74.35
BA	SZU	  74.34
A	E2~a	  74.32
3(N01)	TUR	  74.32
2(N14)	BU~a	  74.27
3(N14)	8(N01)	  74.25
3(N14)	PAP~a	  74.23
1(N14)	1(N24)	  74.13
1(N57)	AN	  74.08
4(N01)	5(N14)	  74.05
1(N34)	AN	  73.91
GAL~a	ME~a	  73.73
5(N01)	A	  73.72
1(N24)	2(N01)	  73.70
AN	SZU2	  73.69
A	U4	  73.65
2(N01)	TUG2~a	  73.65
HI	NUN~a	  73.58
1(N14)	DUG~a	  73.44
BU~a	SANGA~a	  73.32
1(N14)	1(N45)	  73.30
1(N01)	2(N34)	  73.26
AB~a	GAL~a	  73.08
KUR~a	SAL	  72.90
BAR	SAL	  72.89
DU	GI	  72.83
2(N14)	NAM2	  72.78
4(N01)	DU	  72.77
2(N14)	GAR	  72.58
3(N57)	A	  72.40
1(N01)	GADA~a	  72.40
BU~a	NUN~a	  72.30
PAP~a	PA~a	  72.29
EN~a	NE~a	  72.21
1(N34)	8(N01)	  72.18
2(N01)	IB~a	  72.16
1(N57)	3(N57)	  72.12
GA~a	ZATU753	  72.08
NAM2	SAL	  72.06
BU~a	KI	  71.94
1(N14)	DA~a	  71.88
A	BA	  71.78
1(N14)	MUSZEN	  71.75
EN~a	RAD~a	  71.73
1(N34)	GI	  71.68
KI	SZE~a	  71.57
1(N14)	RU	  71.51
1(N01)	UMUN2	  71.49
GAL~a	GA~a	  71.46
HI	PAP~a	  71.41
1(N14)	UD5~a	  71.15
1(N14)	U8	  71.11
2(N01)	ERIM~a	  71.10
SAG	SZE~a	  70.99
1(N14)	NE~a	  70.96
1(N01)	1(N39~a)	  70.87
KI	PAP~a	  70.86
3(N14)	AN	  70.81
3(N14)	GI	  70.77
DU	SANGA~a	  70.76
E2~a	NUN~a	  70.63
5(N01)	SANGA~a	  70.57
2(N01)	GU7	  70.47
6(N01)	U4	  70.41
5(N01)	BU~a	  70.39
BU~a	TUR	  70.28
DU	KI	  70.27
A	NUN~a	  70.27
PAP~a	TUR	  70.18
BA	E2~a	  70.03
1(N14)	SUHUR	  70.00
1(N14)	AB2	  69.96
E2~a	SANGA~a	  69.94
4(N01)	PA~a	  69.92
DU	U4	  69.85
2(N14)	AB~a	  69.72
KI	U4	  69.68
6(N01)	AN	  69.65
PA~a	SAL	  69.65
AN	KU6~a	  69.63
BU~a	HI	  69.62
EN~a	KISAL~b1	  69.60
2(N01)	U8	  69.53
1(N01)	NUN~b	  69.50
KI	SAL	  69.44
1(N01)	NA~a	  69.31
PAP~a	SAG	  69.28
DU	E2~a	  69.27
DU	GAL~a	  69.26
2(N01)	ZATU753	  69.22
1(N57)	NAM2	  69.16
4(N01)	GAL~a	  69.08
NUN~a	SZE~a	  69.04
EN~a	NI~a	  69.04
APIN~a	EN~a	  68.99
5(N01)	ME~a	  68.95
1(N01)	LAGAB~b	  68.92
1(N01)	UDUNITA~a	  68.91
EN~a	GISZ	  68.85
1(N01)	ZATU659	  68.65
1(N57)	BU~a	  68.61
2(N01)	UNUG~a	  68.59
GAL~a	PAP~a	  68.58
1(N45)	2(N14)	  68.57
7(N01)	EN~a	  68.55
2(N01)	AB2	  68.44
1(N14)	SZITA~a1	  68.38
2(N01)	2(N34)	  68.38
AN	NAM2	  68.37
BA	SAL	  68.33
1(N01)	MAR~a	  68.25
2(N01)	SU~a	  68.25
1(N34)	GAL~a	  68.19
5(N01)	KU6~a	  68.05
ME~a	SZE~a	  67.90
1(N24)	SZE~a	  67.90
1(N58)	BAD~a	  67.89
2(N01)	UDUNITA~a	  67.88
1(N01)	1(N02)	  67.86
AN	UDU~a	  67.82
1(N01)	HI@g~a	  67.77
KAB	NAM2	  67.74
2(N01)	RAD~a	  67.69
3(N14)	7(N01)	  67.67
1(N34)	7(N01)	  67.64
GI	KI	  67.57
AN	SZUBUR	  67.50
